"gender","age","year","eyecolor","height","miles","brothers","sisters","computertime","exercise","exercisehours","musiccds","playgames","watchtv"
"32","male",22,"fourth","blue",72,0,0,2,10,"Yes",6,250,0,25
"33","female",19,"second","brown",67,180,0,2,40,"Yes",5,70,1,7
"34","female",21,"third","blue",63,0,2,3,10,"No",0,50,0.5,8
"35","male",21,"third","green",70,80,0,2,10,"No",0,50,10,30
"36","male",22,"fourth","green",74,120,2,1,10,"No",0,35,1,5
"37","male",20,"third","other",71,90,1,0,15,"Yes",4,10,0,1
"38","male",21,"third","green",71,220,1,0,18,"Yes",30,20,0,21
"39","male",21,"third","brown",71,190,1,0,10,"Yes",5,25,1,10
"40","female",19,"second","blue",64,200,0,1,5,"Yes",3,130,0,8
"41","male",18,"first","green",71,130,2,1,2,"No",0,15,2,25
"42","male",20,"second","blue",72,120,0,1,4,"Yes",10,56,12,8
"43","male",21,"third","brown",70,157,0,1,15,"No",0,50,5,28
"44","female",21,"fourth","green",69,230,1,0,10,"Yes",8,215,2,10
"45","male",19,"first","brown",67,75,2,0,10,"No",0,0,12,12
"46","male",22,"fourth","hazel",70,200,0,2,5,"No",0,5,5,20
"47","male",20,"second","green",67,109,1,1,5,"No",0,80,0,1
"48","female",20,"second","blue",62,200,1,0,12,"Yes",1,300,0,10
"49","male",21,"third","brown",66,0,1,2,5,"Yes",5,0,10,30
"50","male",20,"third","hazel",69,50,2,0,8,"Yes",2.5,250,0,5
"51","female",20,"second","hazel",67,600,1,0,15,"Yes",4,140,0,15
"52","female",19,"second","brown",62,40,1,0,15,"Yes",8,25,0,13
"53","female",22,"fourth","brown",65,5,1,0,1,"Yes",6,50,0,3
"54","male",20,"third","hazel",72,80,1,1,2.5,"Yes",5.5,10,5.5,14
"55","male",21,"third","hazel",70,150,1,0,2,"Yes",10,100,15,7
"56","female",19,"second","brown",62,30,4,2,10,"No",0,10,0,20
"57","male",21,"fourth","blue",69,140,1,0,5,"No",0,100,0,2
"58","female",21,"fourth","blue",66,10,2,1,3,"Yes",3,20,5,10
"59","female",21,"fourth","green",65,305,2,3,14,"Yes",2,110,2,12
"60","male",20,"third","blue",79,79,0,2,28,"Yes",6,40,2,15
"61","female",20,"second","brown",62,220,0,0,24,"Yes",5,25,0,7
"62","male",20,"third","hazel",71,55,0,1,12,"Yes",6,150,12,12
"63","male",19,"first","brown",68,20,2,0,10,"No",0,40,10,14
"64","male",18,"first","blue",71,180,2,0,3,"Yes",5,30,2,2
"65","male",18,"first","blue",72,75,0,2,3,"Yes",2,15,0,4
"66","female",20,"second","blue",64,150,0,3,7,"No",0,150,0,28
"67","male",21,"third","hazel",75,210,0,0,7,"No",0,26,10,10
"68","male",20,"second","brown",70,11,3,1,7,"Yes",10,5,14,40
"69","male",23,"other","brown",80,1500,1,0,10,"No",0,20,10,1
"70","female",22,"fourth","green",64,154,1,0,5,"No",0,100,0,10
"71","female",18,"second","green",67,80,1,0,70,"No",0,56,0,5
"72","female",19,"second","hazel",67,360,1,2,10,"Yes",4,30,3,6
"73","male",21,"third","blue",75,170,1,1,5,"Yes",2,6,1,5
"74","female",38,"third","hazel",67,40,1,1,4,"Yes",7,30,14,14
"75","female",20,"third","brown",67,35,0,0,3,"Yes",5,60,0,10
"76","male",23,"fourth","blue",74,0,1,1,8,"Yes",5,500,11,16
"77","female",19,"second","hazel",65,35,0,2,5,"Yes",4,30,0,5
"78","male",21,"third","blue",71,95,1,0,10,"Yes",8,30,5,10
"79","male",20,"second","blue",75,190,2,0,10,"No",0,55,10,1
"80","female",21,"third","blue",68,101,1,3,2,"No",0,0,1,10
"81","female",19,"second","green",67,150,1,5,4,"Yes",3,200,0,3
"82","male",21,"third","blue",75,15,2,1,7,"Yes",4,100,10,10
"83","male",20,"third","blue",76,210,1,1,5,"Yes",3.5,100,10,10
"84","male",18,"first","green",71,215,0,2,4,"Yes",5,60,0,1
"85","female",20,"third","brown",62,45,1,1,60,"No",0,100,0,2
"86","male",22,"fourth","blue",73,13,1,1,4,"Yes",6,50,4,8
"87","male",22,"other","blue",68,0,2,0,10,"No",0,150,2,15
"88","female",18,"first","green",67,215,0,2,30,"No",0,20,1,3
"89","male",24,"first","brown",70,28,3,3,20,"Yes",6,0,8,20
"90","male",19,"first","blue",72,260,0,1,20,"No",0,100,10,20
"91","female",23,"other","other",65,30,1,1,20,"No",0,20,5,15
"92","male",21,"second","brown",69,8587.2,1,0,20,"Yes",6,0,6,2
"93","female",20,"third","brown",60,30,0,1,7,"No",0,50,0,25
"94","female",20,"second","blue",62,60,1,0,18,"Yes",5,350,0,18
"95","female",21,"third","brown",63,7000,0,1,10,"No",0,300,0,4
"96","female",19,"first","hazel",68,230,0,1,30,"No",0,350,2,2
"97","female",20,"third","other",70,22,3,0,10,"No",0,15,1,3
"98","female",20,"second","blue",62,130,2,1,25,"No",0,10,0,8
"99","male",23,"other","blue",71,180,0,1,16,"Yes",4,58,10,15
"100","female",17,"other","brown",67,18,2,1,10,"No",0,50,0,5
"101","female",19,"second","blue",61,50,0,1,14,"No",0,150,0,20
"102","female",21,"fourth","brown",63,120,1,0,5,"No",0,500,30,15
"103","male",20,"second","blue",71,30,0,1,15,"Yes",4,200,2,8
"104","female",27,"fourth","blue",63,2000,1,1,8,"Yes",6,27,0,7
"105","female",21,"third","brown",67,220,2,1,6,"Yes",5,100,0,10
"106","male",19,"second","hazel",78,300,0,1,24,"Yes",16,100,2,18
"107","male",21,"third","brown",69,180,3,0,15,"No",0,25,1,10
"108","male",20,"second","brown",73,82,2,2,10,"No",0,500,1,3
"109","female",20,"second","green",65,160,5,6,3,"Yes",0,30,0.5,12
"110","female",24,"other","blue",64,100,1,0,4,"No",0,133,0,10
"111","male",18,"first","green",72,360,1,0,5,"Yes",5,100,5,10
"112","male",21,"third","green",73,0,1,1,2,"No",0,200,0.5,2
"113","male",20,"third","brown",71,58,0,2,52.5,"No",0,12,12.5,22.5
"114","male",21,"third","brown",72,0,0,1,2,"Yes",9,100,14,7
"115","female",18,"first","green",67,65,0,2,8,"Yes",10,50,0,8
"116","male",20,"second","blue",71,150,0,1,4,"Yes",10,100,10,20
"117","female",20,"second","hazel",68,190,6,2,3,"Yes",6,15,0,5
"118","female",20,"second","green",65,288.5,0,2,25,"No",0,47,1,5
"119","female",19,"second","blue",65,300,0,3,5,"No",0,75,0.5,7
"120","male",20,"second","green",68,132,2,0,25,"Yes",7,50,10,10
"121","male",19,"second","brown",71,4000,2,0,45,"Yes",6,60,5,35
"122","female",19,"second","brown",69,70,1,0,15,"Yes",2,40,5,10
"123","female",20,"third","blue",70,150,1,1,14,"Yes",6,25,1,3
"124","male",20,"third","brown",75,300,0,2,3,"Yes",20,45,18,5
"125","female",20,"second","green",64,215,0,0,5,"Yes",25,200,0.5,2
"126","female",20,"third","green",67,30,1,1,10,"Yes",5,50,0,2
"127","male",22,"fourth","brown",75,40,1,0,7,"Yes",8,200,13,35
"128","female",20,"third","blue",68,150,0,1,3,"Yes",3.5,50,0,5
"129","male",20,"second","blue",73,190,0,1,4,"Yes",2,40,3,6
"130","male",19,"first","brown",70,375,0,1,15,"No",0,300,5,5
"131","female",19,"second","green",64,193,0,1,40,"No",0,1000,0,20
"132","female",21,"fourth","green",66,180,1,0,14,"Yes",5,100,2,30
"133","male",23,"other","brown",68,293,3,1,2,"Yes",15,150,21,14
"134","female",19,"first","blue",69,250,0,1,12,"Yes",8,55,0,6
"135","male",20,"second","hazel",68,45,0,2,1.5,"No",0,80,2,9
"136","female",21,"fourth","green",66,45,1,0,5,"No",0,20,1,8
"137","female",21,"third","brown",66,300,1,2,15,"Yes",6,200,0,15
"138","female",22,"third","blue",70,240,3,2,1,"Yes",1,12,0.5,0.5
"139","male",19,"second","green",72,1500,1,0,2,"Yes",3,31,6,16
"140","female",19,"second","blue",67,40,1,2,2,"Yes",3,60,0,10
"141","female",20,"second","other",63,13000,2,1,20,"No",0,10,0,2
"142","female",20,"third","blue",66,260,1,1,7,"No",0,34,1,15
"143","male",19,"second","brown",72,800,0,2,4,"Yes",4,450,2,8
"144","female",19,"second","other",68,369,1,4,3,"Yes",3,12,0,5
"145","female",20,"second","blue",67,168,0,2,5,"Yes",3,80,0,10
"146","male",21,"third","hazel",73,50,1,1,5,"Yes",8,100,5,4
"147","female",20,"second","green",75,440,0,1,3,"Yes",10,40,0,3
"148","male",20,"second","green",68,60,0,1,7,"Yes",3,120,7,25
"149","female",20,"third","blue",68,75,1,2,15,"Yes",3,20,0,0
"150","female",23,"fourth","blue",70,40,1,1,6,"No",0,75,0,3
"151","male",21,"third","brown",69,200,1,2,4,"No",0,100,7,20
"152","male",21,"fourth","brown",74,85,2,0,10,"Yes",6,100,5,5
"153","female",19,"second","hazel",63,190,0,2,1,"No",0,30,2,5
"154","male",21,"third","green",69,175,1,1,8.5,"Yes",7,300,5,17.5
"155","male",20,"third","blue",66,200,1,1,3,"No",0,20,0,2
"156","female",20,"third","green",68,0,1,1,10,"Yes",6,100,0,10
"157","female",23,"fourth","hazel",64,33,2,1,5,"No",0,20,0,10
"158","male",22,"third","brown",71,150,3,0,2,"Yes",5,80,4,6
"159","female",21,"third","hazel",64,160,1,1,2,"No",0,5,0,6
"160","male",24,"third","brown",64,360,2,1,3,"Yes",4,12,0,6
"161","male",22,"other","green",72,50,2,0,15,"Yes",5,45,3,6
"162","male",24,"fourth","green",74,189,2,1,6,"Yes",5,25,1,25
"163","female",19,"second","green",77,105,2,0,10,"Yes",8,120,1,3
"164","female",20,"third","blue",62,65,1,1,15,"Yes",4,10,0,10
"165","female",19,"first","green",63,950,1,0,8,"No",0,50,2,5
"166","female",19,"first","hazel",66,350,1,0,4,"Yes",4,45,0,8
"167","female",22,"other","brown",68,210,2,1,8.5,"No",0,75,0,22
"168","female",20,"third","blue",67,138,0,2,6,"No",0,79,0,15
"169","female",20,"second","hazel",67,100,2,1,2.5,"Yes",0,20,3.5,15
"170","female",20,"second","brown",63,390,2,1,50,"No",0,85,2,12
"171","female",19,"third","brown",65,6000,0,1,15,"No",0,27,0,20
"172","male",21,"third","brown",69,130,1,2,1,"No",0,60,5,20
"173","male",19,"first","blue",73,110,2,1,11,"No",0,400,1,3
"174","female",20,"third","green",64,200,1,1,25,"Yes",6,40,0.5,14
"175","male",25,"fourth","brown",70,15,3,1,5,"No",0,100,2,5
"176","female",22,"fourth","brown",65,25,0,2,4,"Yes",6,50,0,2
"177","male",21,"third","blue",68,100,0,2,20,"No",0,700,5,10
"178","female",20,"second","brown",66,35,1,2,2,"No",0,15,0,5
"179","male",19,"first","brown",61,120,0,3,3,"Yes",5,4,5,30
"180","female",19,"first","brown",67,300,1,1,12,"Yes",3,20,1,1
"181","male",21,"other","blue",71,220,0,1,5,"No",0,102,10,20
"182","female",18,"first","brown",65,80,1,1,10,"Yes",2,95,1,3
"183","male",28,"other","hazel",72,110,3,1,6,"No",0,100,2,21
"184","female",18,"first","blue",67,30,1,1,20,"No",0,100,0,3
"185","female",20,"second","brown",72,500,1,1,8,"No",0,200,4,7
"186","male",19,"second","hazel",73,1697,1,0,5,"Yes",5,35,10,5
"187","male",24,"second","brown",73,57,1,1,5.5,"Yes",12,300,1,3
"188","female",21,"fourth","blue",65,150,0,1,10,"No",0,60,1,15
"189","female",20,"third","green",65,45,0,2,30,"No",0,30,2,20
"190","female",41,"first","hazel",69,10,2,1,6,"Yes",6,200,2,6
"191","female",21,"fourth","green",64,120,2,2,3,"No",0,50,3,5
"192","female",20,"second","brown",67,175,2,1,15,"Yes",6,45,1,8
"193","female",19,"first","blue",65,350,0,2,3,"No",0,50,0,1
"194","male",19,"first","blue",67,14,1,2,20,"No",0,15,1,0
"195","female",20,"second","hazel",68,75,1,0,5,"No",0,100,7,5
"196","female",20,"third","green",65,180,0,1,5,"Yes",3,40,0,8
"197","male",23,"third","blue",67,90,1,1,7,"Yes",4.5,110,1,2
"198","male",21,"third","blue",70,250,0,2,10,"Yes",10,50,0,2
"199","male",20,"third","blue",74,90,1,2,8,"Yes",10,70,8,2
"200","female",20,"third","blue",64,100,2,1,40,"Yes",5,40,0,3
"201","female",19,"second","green",67,350,1,1,6,"No",0,50,1,6
"202","male",26,"fourth","brown",69,770,3,0,15,"Yes",4,150,10,7
"203","male",21,"third","blue",73,200,1,1,2,"Yes",6,5,2,20
"204","female",19,"second","blue",71,180,1,3,15,"Yes",3,100,0.5,10
"205","female",22,"first","other",67,110,3,0,10,"Yes",3,15,0,0
"206","male",20,"third","other",77,130,2,2,4,"Yes",6,150,6,15
"207","male",18,"first","blue",73,90,1,1,15,"No",0,30,0,10
"208","female",18,"first","green",64,24,0,1,3,"Yes",4,30,5,6
"209","male",19,"third","hazel",72,150,1,0,5,"Yes",7,58,4,18
"210","female",21,"third","brown",63,60,1,2,25,"No",0,75,10,2
"211","female",20,"second","brown",69,150,2,1,3,"No",0,75,0,4
"212","male",18,"first","brown",71,50,2,2,8,"Yes",12,75,1,0.5
"213","female",20,"second","green",65,142,1,2,21,"No",0,15,1,7
"214","male",20,"third","blue",69,190,0,1,15,"Yes",8.5,112,1,15
"215","female",19,"second","hazel",60,40,0,1,4,"Yes",5,20,0,14
"216","female",22,"fourth","brown",63,1000,4,1,10,"No",0,150,0,20
"217","female",22,"fourth","blue",62,400,1,1,10,"No",0,100,0.5,5
"218","female",19,"second","blue",69,140,2,0,6,"No",0,80,0,15
"219","female",20,"third","blue",63,385,0,1,15,"No",0,75,1,3
"220","male",20,"third","hazel",68,212,0,1,3,"Yes",4,50,1,10
"221","female",20,"second","brown",63,150,3,3,3,"Yes",7.5,25,4,5
"222","female",21,"fourth","hazel",65,90,3,1,4,"Yes",10,100,0,15
"223","male",20,"second","green",74,396,1,0,10,"Yes",2,90,24,10
"224","female",20,"third","blue",65,300,1,1,4,"Yes",4,30,10,5
"225","male",21,"third","blue",70,200,1,1,1,"Yes",6,50,2,30
"226","male",23,"third","green",67,140,0,1,5,"Yes",7.5,45,0,45
"227","female",18,"first","blue",67,90,2,1,4,"Yes",3,3,0,8
"228","female",19,"second","brown",66,52,1,1,4,"Yes",8,20,2,8
"229","male",21,"third","blue",71,35,1,1,8,"No",0,25,6,12
"230","male",20,"third","brown",74,321,0,1,1.5,"No",0,35,1,3
"231","male",26,"second","hazel",73,120,0,0,5,"No",0,76,10,25
"232","male",21,"third","hazel",71,180,0,1,12,"Yes",5,20,1,12
"233","male",21,"third","blue",70,135,2,0,15,"Yes",10,5,4,15
"234","female",19,"second","brown",68,155,0,0,3,"Yes",12,25,0,15
"235","female",19,"first","green",64,70,1,0,7,"No",0,15,0,7
"236","female",19,"second","brown",65,75,1,2,15,"No",0,94,7,3
"237","female",21,"fourth","brown",72,45,1,0,30,"Yes",3,70,0,2
"238","female",20,"third","hazel",67,100,3,4,3,"Yes",6,12,0,2.5
"239","male",22,"fourth","green",67,35,0,2,0,"No",0,200,10,10
"240","female",18,"first","brown",66,210,1,0,7,"No",0,100,2,10
"241","female",20,"third","blue",63,130,0,1,6,"Yes",9,60,0,15
"242","female",19,"second","hazel",62,111,1,0,3,"Yes",3,25,0,10
"243","male",19,"first","hazel",68,150,3,0,4,"No",0,10,3,3
"244","female",19,"second","blue",72,0,1,1,2,"Yes",7,8,2,20
"245","male",20,"second","blue",70,210,2,0,5,"Yes",13,75,5,20
"246","female",21,"fourth","brown",62,200,5,0,4,"No",0,80,1,6
"247","male",18,"first","blue",77,375,1,1,8,"Yes",12,24,0,7
"248","female",20,"second","brown",73,173,1,1,8,"Yes",20,100,0,3
"249","male",22,"fourth","other",72,180,3,0,2,"Yes",3,120,3,28
"250","male",19,"second","brown",71,120,2,1,5,"Yes",10,1,0,2
"251","male",20,"third","brown",77,80,0,1,15,"No",0,20,30,40
"252","male",21,"third","blue",72,110,3,0,6,"Yes",5,100,10,15
"253","female",22,"fourth","other",65,75,0,2,5,"Yes",5,30,0,7
"254","male",20,"third","blue",73,180,0,1,6,"No",0,120,10,30
"255","male",19,"first","blue",72,40,2,1,7,"Yes",4,20,3,1
"256","male",20,"third","blue",70,240,1,1,15,"Yes",10,50,5,5
"257","female",21,"fourth","brown",68,250,1,0,2,"No",0,75,2,5
"258","male",22,"fourth","blue",73,290,1,1,7,"Yes",5,100,10,10
"259","female",20,"third","brown",62,180,1,4,10,"Yes",5,40,1,6
"260","male",20,"third","blue",67,0,2,0,15,"Yes",4,0,1,15
"261","female",21,"fourth","blue",67,80,2,0,10,"Yes",5,100,1,15
"262","female",22,"third","brown",68,95,0,2,10,"Yes",6.5,55,2,12
"263","male",22,"other","blue",70,117,2,1,5,"No",0,50,5,21
"264","male",20,"third","hazel",71,101.1,0,3,10,"Yes",2,100,0,5
"265","female",21,"third","blue",69,85,1,0,4,"Yes",8,60,0,3
"266","female",19,"second","blue",66,200,1,0,10,"No",0,150,0,10
"267","female",20,"third","blue",65,250,1,0,10,"Yes",6,200,0,5
"268","female",20,"second","hazel",68,162.5,0,0,15,"Yes",12,150,0,10
"269","female",19,"second","blue",68,125,2,1,7,"Yes",5,35,0,1
"270","male",21,"third","green",71,62,1,1,30,"Yes",10,300,10,20
"271","female",21,"third","brown",67,120,1,1,2,"Yes",8,50,1,3
"272","male",25,"fourth","brown",75,30,0,1,5,"Yes",5,150,1,10
"273","female",19,"second","hazel",64,125,2,0,12,"No",0,4,0,3
"274","female",20,"third","blue",66,70,1,4,20,"Yes",3,25,0,4
"275","male",19,"second","other",70,0,0,1,20,"No",0,500,12,5
"276","female",22,"fourth","brown",68,110,1,1,1,"No",0,55,2,5
"277","male",21,"fourth","other",70,40,1,1,4,"Yes",16,30,1,5
"278","female",21,"fourth","brown",70,60,1,3,10,"No",0,30,1,3
"279","male",21,"fourth","green",72,120,0,2,20,"No",0,6,1,20
"280","male",18,"first","brown",70,5000,1,0,15,"Yes",4,50,20,15
"281","female",18,"first","brown",65,1200,2,2,20,"No",0,50,3,3
"282","female",19,"second","green",70,90,0,1,10,"Yes",5,300,2,10
"283","male",21,"fourth","brown",67,300,3,1,10,"Yes",1,50,0.5,4
"284","male",21,"third","blue",68,0,1,2,4,"Yes",6,50,1,8
"285","male",20,"third","blue",71,280,1,1,5,"Yes",2,3,10,10
"286","female",19,"second","hazel",65,100,1,1,10,"Yes",2,30,0.25,4
"287","male",20,"second","brown",72,85,4,3,20,"Yes",3,100,1,10
"288","male",18,"first","blue",66,320,1,4,10,"Yes",10,60,0,20
"289","male",21,"third","brown",72,180,0,2,10,"Yes",5,130,20,20
"290","female",21,"third","blue",68,75,1,0,4,"Yes",5,30,0,7
"291","female",20,"second","blue",66,85,2,1,10,"Yes",3,200,10,10
"292","female",19,"second","blue",64,90,1,0,8,"No",0,150,2,15
"293","female",18,"first","brown",67,181,1,0,15,"No",0,82,0,15
"294","male",20,"third","blue",73,165,2,0,2,"Yes",5,100,3.5,14
"295","male",20,"second","blue",78,40,0,1,7,"Yes",5.5,50,0,15
"296","male",24,"fourth","blue",69,85,2,1,2,"Yes",0,100,8,2
"297","female",20,"third","brown",67,130,1,1,5,"Yes",5,200,0,15
"298","female",18,"first","green",67,0,0,0,30,"Yes",14,60,0,2
"299","male",21,"third","blue",70,225,3,0,4,"Yes",5,50,2,15
"300","male",21,"third","blue",74,100,1,1,1,"Yes",3,50,1,5
"301","male",20,"third","green",71,180,0,1,5,"Yes",3,40,1,4
"302","female",22,"fourth","brown",70,100,0,1,15,"Yes",3,95,0,10
"303","male",19,"second","blue",68,280,1,0,30,"No",0,400,1,20
"304","female",19,"second","blue",64,40,1,0,15,"No",0,32,0,0
"305","female",20,"third","blue",65,35,1,4,37.5,"No",0,40,1,2
"306","male",21,"third","hazel",77,180,1,1,3,"Yes",6,20,2,15
"307","female",19,"second","brown",69,175,1,1,5,"Yes",3,50,3,2
"308","male",21,"second","blue",68,55,1,1,3,"Yes",18,40,0,12
"309","male",19,"second","brown",70,230,0,2,10,"No",0,60,6,2
"310","female",19,"second","hazel",70,180,2,0,8,"Yes",15,80,0,4
"311","male",23,"third","blue",75,90,1,1,5,"Yes",5,0,10,25
"312","female",20,"second","green",69,140,1,2,5,"Yes",5,200,0,0
"313","male",21,"third","blue",71,45,1,0,10,"Yes",20,80,4,5
"314","male",21,"third","blue",68,70,1,0,8,"Yes",12,100,2,10
"315","female",22,"fourth","blue",60,0,2,2,10,"Yes",5,20,0,0
"316","female",22,"fourth","brown",64,40,1,1,5,"No",0,50,0,0
"317","female",18,"first","hazel",64,200,0,1,10,"Yes",4,75,0,6
"318","female",23,"other","blue",70,122,2,1,2.5,"Yes",3.5,100,1.5,3.5
"319","female",22,"fourth","hazel",65,5,0,3,15,"Yes",4.5,40,0,15
"320","male",21,"third","hazel",72,115,1,1,15,"Yes",8,100,15,10
"321","male",21,"third","green",74,120,0,1,15,"Yes",6.5,60,2,15
"322","male",20,"second","hazel",74,100,1,1,8,"Yes",8,148,2,10
"323","female",19,"second","blue",63,175,1,0,10,"Yes",3.5,200,1,4
"324","female",22,"fourth","blue",67,30,1,2,10,"Yes",6,140,0,20
"325","female",20,"third","blue",68,300,1,1,7,"Yes",3,60,2,10
"326","male",19,"second","hazel",72,45,0,0,70,"Yes",0,30,0,2
"327","male",20,"third","blue",68,250,0,1,1,"Yes",5,100,12,12
"328","male",21,"third","green",77,330,2,0,3,"No",0,50,2,5
"329","female",22,"other","blue",70,70,3,1,5,"No",0,30,5,25
"330","female",21,"third","blue",65,160,0,1,2,"No",0,40,0,7
"331","male",20,"second","blue",71,115,3,2,10,"No",0,25,10,5
"332","male",19,"first","brown",62,220,3,0,10,"No",0,10,5,16
"333","male",20,"second","blue",71,230,3,0,15,"No",0,100,3,10
"334","male",19,"first","blue",71,0,1,0,3,"Yes",1,100,0,20
"335","male",21,"third","other",73,79,0,1,2,"Yes",10,96,12,3
"336","female",20,"second","brown",68,30,0,3,10,"No",0,20,2,4
"337","female",19,"second","blue",61,368,2,0,10,"No",0,60,2,5
"338","female",19,"second","blue",65,2000,0,1,3,"Yes",2,30,1,4
"339","female",18,"first","green",69,0,1,0,10,"Yes",3,20,0,5
"340","male",20,"second","blue",74,30,0,1,35,"No",0,1000,10,10
"341","male",24,"fourth","blue",74,105,0,2,14,"No",0,127,1,8
"342","female",21,"third","green",63,43,1,0,10,"Yes",5,20,2,1
"343","female",20,"third","brown",67,300,2,0,15,"No",0,150,1,5
"344","male",21,"third","blue",72,120,0,2,10,"Yes",10,100,0,5
"345","female",43,"other","brown",65,60,0,0,0,"No",0,0,0,25
"346","female",18,"first","brown",67,0,0,2,5,"Yes",5,15,0,15
"347","female",18,"first","blue",74,237,0,0,35,"Yes",6,46,12,28
"348","female",21,"third","green",66,95,2,1,4,"Yes",3,50,0,3
"349","male",20,"second","blue",69,60,0,1,8,"Yes",3,100,2,8
"350","male",20,"third","blue",77,65,1,0,28,"Yes",3,40,1,15
"351","male",19,"second","blue",69,710,0,1,10,"No",0,200,2,2
"352","female",21,"fourth","green",67,400,0,2,20,"No",0,4,0,8
"353","female",22,"other","brown",60,30,3,0,8,"Yes",5,150,0,4
"354","male",19,"second","green",73,1100,0,1,0.5,"Yes",5,20,3,2
"355","male",20,"second","green",71,120,1,1,10,"Yes",12,67,15,15
"356","female",19,"second","hazel",64,370,2,1,20,"No",0,100,0,2
"357","female",21,"third","hazel",68,130,5,5,20,"Yes",4.5,50,0,17.5
"358","male",21,"third","brown",72,110,0,1,3,"Yes",3,30,1,0.5
"359","female",22,"fourth","blue",65,12,1,0,5,"Yes",4,35,0,4
"360","female",19,"second","hazel",62,0,1,0,7,"Yes",4,300,0,21
"361","female",20,"second","brown",69,100,1,0,10,"Yes",21,100,0,5
"362","male",21,"third","brown",70,200.2,0,1,5,"No",0,50,0.5,5
"363","female",19,"second","brown",68,87,1,2,5,"No",0,35,0,10
"364","male",21,"third","blue",74,90,0,1,10,"No",0,10,10,10
"365","female",18,"first","hazel",69,50,0,1,5,"Yes",1,55,1,25
"366","female",19,"second","green",67,35,1,0,1,"No",0,57,2,10
"367","male",22,"fourth","hazel",74,250,2,1,2,"Yes",5,200,0,2
"368","male",21,"third","blue",71,100,2,0,15,"Yes",5,20,20,10
"369","male",20,"third","brown",72,328,1,0,21,"Yes",8,350,0,15
"370","female",21,"third","hazel",64,64,1,1,3,"No",0,50,1,5
"371","male",19,"second","blue",76,220,1,0,10,"Yes",5,70,2,7
"372","male",24,"other","brown",66,180,2,0,10,"No",0,150,15,20
"373","female",23,"other","green",66,200,2,0,3,"Yes",10,600,0,25
"374","female",20,"third","brown",63,30,3,1,10,"Yes",3.5,8,0,10
"375","female",20,"third","hazel",67,90,0,1,10,"Yes",5,35,1,8
"376","female",21,"third","hazel",63,150,0,2,7,"No",0,50,1,21
"377","male",22,"fourth","hazel",72,60,3,0,3.5,"Yes",6,50,NA,6.5
"378","male",20,"second","hazel",68,0,1,1,8,"No",0,90,2,9
"379","female",18,"first","blue",63,102,1,1,5,"No",0,50,0,3
"380","female",20,"second","green",69,40,4,0,5,"Yes",12,400,0,10
"381","female",18,"first","hazel",62,72,0,2,25,"Yes",15,52,1,2
"382","male",20,"second","blue",72,120,2,1,10,"Yes",8,5,0,15
"383","female",22,"fourth","blue",72,75,1,0,12,"Yes",3,110,0,2
"384","male",19,"first","brown",70,510,1,1,10,"Yes",5,30,1,10
"385","male",21,"fourth","brown",72,400,1,1,5,"No",0,65,2,12
"386","male",18,"first","blue",69,120,5,0,6,"Yes",15,30,25,10
